"Index","Umri","Jinsia","Mahali unapoishi","Nauli unayotumia kufika chuo","Umbali wa sehemu unapo kaa mpaka chuo","Kiasi au kipato unacho pewa kwa semester","Submitter","Submission Date","Submission ID"
1,"21","Male","Kijitonyama ","1","1","250000",,"8/11/2021, 3:04:03 AM","7fc8af4e"
2,"23","Male","Sinza","800","2","1000000",,"8/11/2021, 3:04:41 AM","b06a608f"
3,"23","Male","Lugungira","800","8","10020000",,"8/11/2021, 3:08:15 AM","47d8c775"
4,"","","","","3.6","",,"8/11/2021, 3:12:19 AM","db712bb8"
5,"20","Male","udsm","","","300000",,"8/11/2021, 3:19:01 AM","cfba09f2"
6,"20","Male","Tegeta","500","12","300000",,"8/11/2021, 3:22:50 AM","a5f13aeb"
7,"21","Male","Makumbusho ","","2.5","200000",,"8/11/2021, 3:23:25 AM","e21fa200"
8,"21","Male","Dar","400","","",,"8/11/2021, 3:27:00 AM","bff84e27"
9,"24","Male","Manyara","400","2","2000000",,"8/11/2021, 3:39:35 AM","c9bf0f3a"
10,"20","Male","Tegeta","400","7","500000",,"8/11/2021, 3:50:38 AM","27ecc6e5"
11,"21","Male","Mabibo hostel","400","1.5","1000000",,"8/11/2021, 3:57:48 AM","f9c512da"
12,"21","Male","Golani","1000","3.4","",,"8/11/2021, 4:04:17 AM","1d28f632"
13,"21","Female","Sinza","400","3.2","1",,"8/11/2021, 4:10:26 AM","c7a33492"
14,"23","Female","Dar es salaam","400","5","1000000",,"8/11/2021, 4:12:10 AM","7f89e46f"
15,"22","Female","Dar -es-Salaam","400","8","500000",,"8/11/2021, 4:16:50 AM","be3ab227"
16,"21","Male","Magomeni","400","3","500000",,"8/11/2021, 4:17:03 AM","f79d5178"
17,"40","Male","coict hostel ","","","1000000",,"8/11/2021, 4:18:31 AM","646654f"
18,"21","Male","Tabata","1000","5","400000",,"8/11/2021, 4:23:35 AM","3cbd4ce7"
19,"21","Male","Tabata","1000","12","10000000",,"8/11/2021, 4:26:00 AM","51555e31"
20,"35","Male","Dsm ","400","5","2500000",,"8/11/2021, 4:30:09 AM","d80af7dc"
21,"91","Female","Wakanda","100000","500000","140000000",,"8/11/2021, 4:31:41 AM","db8a6da8"
22,"22","Female","Makumbusho","400","","1000000",,"8/11/2021, 4:31:54 AM","ce7b8c72"
23,"21","Male","Tanesco","400","3","500000",,"8/11/2021, 4:34:57 AM","ffc99a73"
24,"20","Female","Kibaha","2000","","400000",,"8/11/2021, 4:35:58 AM","5ed7e554"
25,"20","Female","MbeziBeach africana ","2000","","",,"8/11/2021, 4:36:13 AM","c904b2e4"
26,"20","Male","Survey","1000","","",,"8/11/2021, 4:37:48 AM","7f90ed0f"
27,"22","Male","Tandale","800","7.2","520000",,"8/11/2021, 4:39:19 AM","1df59cc3"
28,"23","Female","Tegeta","2000","10","50000",,"8/11/2021, 4:42:48 AM","28bfbd2a"
29,"24","Male","Golani","1000","2","200000",,"8/11/2021, 4:44:32 AM","481b148e"
30,"21","Female","Changanyikeni mbuyuni","500","","150000",,"8/11/2021, 4:46:56 AM","f5862bbf"
31,"19","Male","Kijitonyama","","1","200000",,"8/11/2021, 4:58:02 AM","8cd2b827"
32,"19","Female","mabibo","400","2","400000",,"8/11/2021, 5:06:22 AM","bd13af88"
33,"22","Female","Mikocheni B","2800","2","1000000",,"8/11/2021, 5:09:30 AM","7b779de"
34,"22","Female","Kimara ","500","20","1000000",,"8/11/2021, 5:11:00 AM","22ba2f89"
35,"21","Female","Goba","1000","10","850000",,"8/11/2021, 5:15:56 AM","e835acd5"
36,"22","Female","Kimara","1000","10","500000",,"8/11/2021, 5:22:19 AM","b5b05b91"
37,"21","Female","coict hostel","950","2","500000",,"8/11/2021, 5:22:28 AM","139bc678"
38,"24","Male","Makumbusho","","0.5","1000000",,"8/11/2021, 5:23:35 AM","e5bce7c5"
39,"21","Male","kijitonyama","400","2","700000",,"8/11/2021, 5:23:44 AM","957f9111"
40,"","","","","","1000",,"8/11/2021, 5:26:54 AM","8a6470e5"
41,"22","Male","Tabatq","400","15","900000",,"8/11/2021, 5:28:01 AM","fa2736ab"
42,"22","Male","ubungo","500","8","500000",,"8/11/2021, 5:28:15 AM","3514aeda"
43,"23","Male","riverside","500","10","600000",,"8/11/2021, 5:29:21 AM","4c79ecbc"
44,"24","Female","Kijitonyama","","2.5","1000000",,"8/11/2021, 5:29:37 AM","5c1df9a3"
45,"21","Female","Kijitonyama","1500","1.5","500000",,"8/11/2021, 5:32:43 AM","d63434cb"
46,"23","Male","Mwenge - Mpakani","400","5","1024000",,"8/11/2021, 5:33:04 AM","c923f38f"
47,"24","Male","Buza","1000","19","700000",,"8/11/2021, 5:38:35 AM","4d97bc42"
48,"24","Male","magufuli hostel","","","200000",,"8/11/2021, 5:41:25 AM","f5e93d66"
49,"19","Female","tabata","2500","17","480000","peter wilfred","8/11/2021, 5:42:05 AM","1f762ebd"
50,"20","Male","udsm","","","300000","peter wilfred","8/11/2021, 5:45:09 AM","e176252d"
